t_ps,x1_A,y1_A,z1_A,x2_A,y2_A,z2_A,vx1_Aps,vy1_Aps,vz1_Aps,vx2_Aps,vy2_Aps,vz2_Aps,E_kin_eV,E_pot_eV,E_total_eV
4.4000000000000000e-01,1.2326942344131335e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2326942344131335e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2867592512269987e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2867592512269987e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1796406869227326e-02,3.1776443443300229e-01,3.3956084130222963e-01
4.5000000000000001e-01,1.2599623264391058e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2599623264391058e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6249845480159362e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.6249845480159362e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7298268223447436e-01,1.5153130097357204e-01,3.2451398320804636e-01
4.6000000000000002e-01,1.3051939253734524e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3051939253734524e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7880426396943285e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.7880426396943285e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0179102927292406e-01,1.8658528971224119e-02,3.2044955824414817e-01
4.7000000000000003e-01,1.3557231792329922e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3557231792329922e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8892778961657903e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.8892778961657903e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1468768840173417e-01,1.0424443337461894e-02,3.2511213173919606e-01
4.7999999999999998e-01,1.4029794832967681e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4029794832967681e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3376968952445036e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.3376968952445036e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4769013550838118e-01,8.1823114536815858e-02,3.2951325004519705e-01
4.8999999999999999e-01,1.4424771171378823e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4424771171378823e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.4608902592241115e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.4608902592241115e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5767613456065632e-01,1.7407828744441192e-01,3.3175442200506822e-01
5.0000000000000000e-01,1.4721972884812502e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4721972884812502e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4431213556018259e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.4431213556018259e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.8574275894432555e-02,2.5403742527261619e-01,3.3261170116704875e-01
5.1000000000000001e-01,1.4913395442499189e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4913395442499189e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3717349599586612e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3717349599586612e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4770268941040979e-02,3.0809535613801525e-01,3.3286562507905626e-01
5.2000000000000002e-01,1.4996319876804236e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4996319876804236e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.8329627080991404e-01,0.0000000000000000e+00,0.0000000000000000e+00,-2.8329627080991404e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0565061341658109e-03,3.3186050750231494e-01,3.3291701363648074e-01
5.3000000000000003e-01,1.4970054696661172e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4970054696661172e+00,0.0000000000000000e+00,0.0000000000000000e+00,-8.0765043761622346e-01,0.0000000000000000e+00,0.0000000000000000e+00,8.0765043761622346e-01,0.0000000000000000e+00,0.0000000000000000e+00,8.5869151795464563e-03,3.2431726822467388e-01,3.3290418340422034e-01
